           1          15
        1136   1020.00000       3800.00073    
        1145   1020.00000       3828.57227    
        1154   1020.00000       3857.14380    
        1163   1020.00000       3885.71533    
        1172   1020.00000       3914.28687    
        1181   1020.00000       3942.85840    
        1190   1020.00000       3971.42993    
        1197   1020.00000       4000.00000    
          43          15
        1197   1020.00000       4000.00000    
        1204   1020.00000       4028.57153    
        1213   1020.00000       4057.14307    
        1222   1020.00000       4085.71460    
        1231   1020.00000       4114.28613    
        1240   1020.00000       4142.85742    
        1249   1020.00000       4171.42871    
        1258   1020.00000       4200.00000    
        1267   1020.00000       4228.57129    
        1276   1020.00000       4257.14258    
        1285   1020.00000       4285.71387    
        1294   1020.00000       4314.28516    
        1303   1020.00000       4342.85645    
        1312   1020.00000       4371.42773    
        1319   1020.00000       4400.00000    
          44          15
        1319   1020.00000       4400.00000    
        1326   1020.00000       4428.57129    
        1335   1020.00000       4457.14258    
        1344   1020.00000       4485.71387    
        1353   1020.00000       4514.28516    
        1362   1020.00000       4542.85645    
        1371   1020.00000       4571.42773    
        1380   1020.00000       4599.99902    
        1389   1020.00000       4628.57031    
        1398   1020.00000       4657.14160    
        1407   1020.00000       4685.71289    
        1416   1020.00000       4714.28418    
        1425   1020.00000       4742.85547    
        1434   1020.00000       4771.42676    
        1441   1020.00000       4800.00000    
          45          15
        1441   1020.00000       4800.00000    
        1448   1020.00000       4828.57129    
        1457   1020.00000       4857.14258    
        1466   1020.00000       4885.71387    
        1475   1020.00000       4914.28516    
        1484   1020.00000       4942.85645    
        1493   1020.00000       4971.42773    
        1502   1020.00000       4999.99902    
        1511   1020.00000       5028.57031    
        1520   1020.00000       5057.14160    
        1529   1020.00000       5085.71289    
        1538   1020.00000       5114.28418    
        1547   1020.00000       5142.85547    
        1556   1020.00000       5171.42676    
        1563   1020.00000       5200.00000    
          46          15
        1563   1020.00000       5200.00000    
        1570   1020.00000       5228.57129    
        1579   1020.00000       5257.14258    
        1588   1020.00000       5285.71387    
        1597   1020.00000       5314.28516    
        1606   1020.00000       5342.85645    
        1615   1020.00000       5371.42773    
        1624   1020.00000       5399.99902    
        1633   1020.00000       5428.57031    
        1642   1020.00000       5457.14160    
        1651   1020.00000       5485.71289    
        1660   1020.00000       5514.28418    
        1669   1020.00000       5542.85547    
        1678   1020.00000       5571.42676    
        1685   1020.00000       5600.00000    
          47          15
        1685   1020.00000       5600.00000    
        1692   1020.00000       5628.57129    
        1700   1020.00000       5657.14258    
        1708   1020.00000       5685.71387    
        1716   1020.00000       5714.28516    
        1724   1020.00000       5742.85645    
        1732   1020.00000       5771.42773    
        1740   1020.00000       5799.99902    
        1748   1020.00000       5828.57031    
        1756   1020.00000       5857.14160    
        1764   1020.00000       5885.71289    
        1772   1020.00000       5914.28418    
        1780   1020.00000       5942.85547    
        1788   1020.00000       5971.42676    
        1794   1020.00000       6000.00000    
          48          15
        1794   1020.00000       6000.00000    
        1800   1020.00000       6028.57129    
        1806   1020.00000       6057.14258    
        1812   1020.00000       6085.71387    
        1818   1020.00000       6114.28516    
        1824   1020.00000       6142.85645    
        1830   1020.00000       6171.42773    
        1836   1020.00000       6199.99902    
        1842   1020.00000       6228.57031    
        1848   1020.00000       6257.14160    
        1854   1020.00000       6285.71289    
        1860   1020.00000       6314.28418    
        1866   1020.00000       6342.85547    
        1872   1020.00000       6371.42676    
        1876   1020.00000       6400.00000    
          49          15
         127   1440.00000       0.00000000    
         128   1440.00000       28.5714283    
         135   1440.00000       57.1428566    
         142   1440.00000       85.7142868    
         149   1440.00000       114.285713    
         156   1440.00000       142.857147    
         163   1440.00000       171.428574    
         170   1440.00000       200.000000    
         177   1440.00000       228.571426    
         184   1440.00000       257.142853    
         191   1440.00000       285.714294    
         198   1440.00000       314.285736    
         205   1440.00000       342.857178    
         212   1440.00000       371.428619    
         219   1440.00000       400.000000    
          50          15
         219   1440.00000       400.000000    
         226   1440.00000       428.571442    
         235   1440.00000       457.142883    
         244   1440.00000       485.714325    
         253   1440.00000       514.285767    
         262   1440.00000       542.857178    
         271   1440.00000       571.428589    
         280   1440.00000       600.000000    
         289   1440.00000       628.571411    
         298   1440.00000       657.142822    
         307   1440.00000       685.714233    
         316   1440.00000       714.285645    
         325   1440.00000       742.857056    
         334   1440.00000       771.428467    
         342   1440.00000       800.000000    
          51          15
         342   1440.00000       800.000000    
         348   1440.00000       828.571411    
         357   1440.00000       857.142822    
         366   1440.00000       885.714233    
         375   1440.00000       914.285645    
         384   1440.00000       942.857056    
         393   1440.00000       971.428467    
         402   1440.00000       999.999878    
         411   1440.00000       1028.57129    
         420   1440.00000       1057.14270    
         429   1440.00000       1085.71411    
         438   1440.00000       1114.28552    
         447   1440.00000       1142.85693    
         456   1440.00000       1171.42834    
         464   1440.00000       1200.00000    
          52          15
         464   1440.00000       1200.00000    
         470   1440.00000       1228.57141    
         479   1440.00000       1257.14282    
         488   1440.00000       1285.71423    
         497   1440.00000       1314.28564    
         506   1440.00000       1342.85706    
         515   1440.00000       1371.42847    
         524   1440.00000       1399.99988    
         533   1440.00000       1428.57129    
         542   1440.00000       1457.14270    
         551   1440.00000       1485.71411    
         560   1440.00000       1514.28552    
         569   1440.00000       1542.85693    
         578   1440.00000       1571.42834    
         586   1440.00000       1600.00000    
          53          15
         586   1440.00000       1600.00000    
         592   1440.00000       1628.57141    
         601   1440.00000       1657.14282    
         610   1440.00000       1685.71423    
         619   1440.00000       1714.28564    
         628   1440.00000       1742.85706    
         637   1440.00000       1771.42847    
         646   1440.00000       1799.99988    
         655   1440.00000       1828.57129    
         664   1440.00000       1857.14270    
         673   1440.00000       1885.71411    
         682   1440.00000       1914.28552    
         691   1440.00000       1942.85693    
         700   1440.00000       1971.42834    
         708   1440.00000       2000.00000    
          54          15
         708   1440.00000       2000.00000    
         714   1440.00000       2028.57141    
         723   1440.00000       2057.14282    
         732   1440.00000       2085.71436    
         741   1440.00000       2114.28589    
         750   1440.00000       2142.85742    
         759   1440.00000       2171.42896    
         768   1440.00000       2200.00049    
         777   1440.00000       2228.57202    
         786   1440.00000       2257.14355    
         795   1440.00000       2285.71509    
         804   1440.00000       2314.28662    
         813   1440.00000       2342.85815    
         822   1440.00000       2371.42969    
         830   1440.00000       2400.00000    
          55          15
         830   1440.00000       2400.00000    
         836   1440.00000       2428.57153    
         845   1440.00000       2457.14307    
         854   1440.00000       2485.71460    
         863   1440.00000       2514.28613    
         872   1440.00000       2542.85767    
         881   1440.00000       2571.42920    
         890   1440.00000       2600.00073    
         899   1440.00000       2628.57227    
         908   1440.00000       2657.14380    
         917   1440.00000       2685.71533    
         926   1440.00000       2714.28687    
         935   1440.00000       2742.85840    
         944   1440.00000       2771.42993    
         952   1440.00000       2800.00000    
          56          15
         952   1440.00000       2800.00000    
         958   1440.00000       2828.57153    
         967   1440.00000       2857.14307    
         976   1440.00000       2885.71460    
         985   1440.00000       2914.28613    
         994   1440.00000       2942.85767    
        1003   1440.00000       2971.42920    
        1012   1440.00000       3000.00073    
        1021   1440.00000       3028.57227    
        1030   1440.00000       3057.14380    
        1039   1440.00000       3085.71533    
        1048   1440.00000       3114.28687    
        1057   1440.00000       3142.85840    
        1066   1440.00000       3171.42993    
        1074   1440.00000       3200.00000    
          57          15
        1074   1440.00000       3200.00000    
        1080   1440.00000       3228.57153    
        1089   1440.00000       3257.14307    
        1098   1440.00000       3285.71460    
        1107   1440.00000       3314.28613    
        1116   1440.00000       3342.85767    
        1125   1440.00000       3371.42920    
        1134   1440.00000       3400.00073    
        1143   1440.00000       3428.57227    
        1152   1440.00000       3457.14380    
        1161   1440.00000       3485.71533    
        1170   1440.00000       3514.28687    
        1179   1440.00000       3542.85840    
        1188   1440.00000       3571.42993    
        1196   1440.00000       3600.00000    
          58          15
        1196   1440.00000       3600.00000    
        1202   1440.00000       3628.57153    
        1211   1440.00000       3657.14307    
